Sku Code,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product Name,Colour,Colour Shade Name,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,Long Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available (Y/N),images.img1,images.img2,images.img3,images.img4,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),GTIN,HSN,EAN,Gender,Concern,Ingredient,Conscious,Pack Size,Preference,Formulation,Skin Type,Age Group,Occasion,Fragrance Family,Benefit,Warranty,Jewellery Type,Pattern,Extension Type,Extension Colour,Finish,Features,Hex Code,Pigmentation,Sustainable,Coverage,Skin Tone,SPF,Bristle Type,Brush Type,Flavour
EU00115518,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,Plush Up Gelato Strawberry Sorbet Lipstick 06,Pink,Strawberry Sorbet,3-3.5 ML,1,Elizabeth Arden,1775,1775,"Shade name
Strawberry Sorbet 06

What it is
Gelato Lipstick

What it does
This creamy gel formula leaves lips with a sheer, shiny kiss of color
The sweet gelato flavor creates an addiction that will keep you wanting to come back for more
Lips are instantly cooled and appear plumped for a fuller look",,,1,Units,,"RetailNet, REVLON CONSUMER PRODUCTS CORPORATION 1501 Williamsboro St. Oxford, NC 27565, USA",Italy,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ElizabethArdenPlushUpGelatoStrawberrySorbetLipstick06_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ElizabethArdenPlushUpGelatoStrawberrySorbetLipstick06_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ElizabethArdenPlushUpGelatoStrawberrySorbetLipstick06_3.jpg,,,,,(Y),(Y),(N),,,,,,Strawberry,,,Hyaluronic Acid,Bullet,,,,Sweet,,,,,,,Glossy,Fuller Lips,#e65672,Medium Coverage,,"Gel,Sheer",,,,,
EU00115519,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Plush Up Flirty Fuchsia Lip Gelato 05,Pink,Flirty Fuchsia,3-3.5 ML,1,Elizabeth Arden,1775,1775,"Shade name
Flirty Fuchsia 05

What it is
Creamy gel formula lipstick

What it does
This addictive gel formula melts onto lips leaving a sheer, shiny finish
Lips are instantly cooled and appear plumped for a fuller look
The sweet gelato flavor creates an addiction that will keep you wanting to come back for more
Smoothens and conditions while helping to create fuller looking lips
Soothes, protects and helps lock in moisture
Rich in antioxidants, leaves lips feeling soft and nourished
Ingredients
Peptides
Hylauronic Acid
Shea Butter
Rosemerry extract
Vitamin A and E",,,1,Units,,"RetailNet, REVLON CONSUMER PRODUCTS CORPORATION1501 Williamsboro St.Oxford, NC 27565, USA",Italy,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ElizabethArdenNewYorkPlushUpFlirtyFuchsiaLipGelato05_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ElizabethArdenNewYorkPlushUpFlirtyFuchsiaLipGelato05_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ElizabethArdenNewYorkPlushUpFlirtyFuchsiaLipGelato05_3.jpg,,,,,(Y),(Y),(N),,,,,,"Antioxidants,Shea Butter,Peptides,Vitamin A",,,Fragrance-Free,Bullet,Vitamin A,,,Sweet,,,,,,,Creme,Moisturising,#ae2b47,Medium Coverage,,"Gel,Sheer",,,,,
EU00115520,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Founder 115,Pink,Founder 115,4-5 ML,1,Maybelline,699,419,"Maybelline New York Super Stay Matte Ink Liquid Lipstick
Shade name: Founder 115",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Founder115_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Founder115_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Founder115_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Long Lasting,#811532,Medium Coverage,,Matte,,,,,
EU00115521,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Color Sensational Creamy Matte Lipstick - Touch of Spice 660,Maroon,Touch of Spice 660,3.5-4 ML,1,Maybelline,329,213,"Maybelline New York Color Sensational Creamy Matte
Shade Name: 660 Touch Of Spice
Features:
Discover Maybelline New York's Color Sensational Creamy Matte Lipsticks in 35 comfortably matte shades! Infused with pure precious oils that are filled with moisture; our smoothest, creamiest, non-drying matte lipstick leaves the lips with a sensuous finish for that comfortable feel.
The Creamy Mattes are available in 35 stunning and highly pigmented shades; ranging from classic red lipsticks such as Rich Ruby and Siren in Scarlet to flawless nude lipsticks like Daringly Nude and Nude Embrace.",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalCreamyMatteLipstick-TouchofSpice660_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalCreamyMatteLipstick-TouchofSpice660_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalCreamyMatteLipstick-TouchofSpice660_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Fragrance-Free,Bullet,,,,,,,,,,,Matte,Moisturising,#9f4a37,Medium Coverage,,Matte,,,,,
EU00115522,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Amazonian 70,Brown,Amazonian 70,4-5 ML,1,Maybelline,699,419,"New York Super Stay Matte Ink Liquid Lipstick
Shade name: Amazonian",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Amazonian70_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Amazonian70_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Amazonian70_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Transfer Proof,#9d4b3d,Full Coverage,,Matte,,,,,
EU00115523,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Color Sensational Ultimattes Lipstick- 599 More Mauve- 1.7g,Pink,More Mauve,0-2 ML,1,Maybelline,599,359,"Maybelline New York Color Sensational Ultimatte Lipstick
Shade Number: 599
Shade Name: More Mauve",,,1,Units,,"Vision Star, CHN - YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, NO. 18 XIHU ROAD, XILING ECONOMIC DEVELOPING ZONE, YICHANG, CHINA",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-599MoreMauve-1.7g_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-599MoreMauve-1.7g_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-599MoreMauve-1.7g_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-599MoreMauve-1.7g_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Fragrance-Free,Bullet,,,,,,,,,,,Matte,Easy Application,,Full Coverage,Regular,,,,,,
EU00115524,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Artist 120,Pink,Artist 120,4-5 ML,1,Maybelline,699,419,"Maybelline New York Super Stay Matte Ink Liquid Lipstick
Shade name - Artist 120",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Artist120_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Artist120_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Artist120_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Transfer Proof,#b7235c,Full Coverage,,Matte,,,,,
EU00115525,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Ambitious 220,Red,Ambitious 220,4-5 ML,1,Maybelline,699,419,"Maybelline New York Super Stay Matte Ink Liquid Lipstick
Shade name - Ambitious 220",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Ambitious220_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Ambitious220_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Ambitious220_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Transfer Proof,#ab233b,Full Coverage,,Matte,,,,,
EU00115526,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Lover 15,Pink,Lover 15,4-5 ML,1,Maybelline,699,419,Super Stay Matte Ink Liquid Lipstick 5 ml - Lover 15,,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Lover15_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Lover15_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Lover15_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Lover15_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Transfer Proof,#af616e,Full Coverage,,Matte,,,,,
EU00115527,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Ruler 80,Red,Ruler 80,4-5 ML,1,Maybelline,699,419,"Maybelline New York Super Stay Matte Ink Liquid Lipstick 5 ml
Shade name - 80 Ruler",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Ruler80_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Ruler80_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Ruler80_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Vegan,Liquid,,,,,,,,,,,Matte,Smooth Texture,#ce3b4e,Medium Coverage,,Matte,,,,,
EU00115528,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Pioneer 20,Red,Pioneer 20,4-5 ML,1,Maybelline,699,419,"Maybelline New York Super Stay Matte Ink Liquid Lipstick
Shade name: Pioneer 20
Features:
Maybelline New York's SuperStay Matte Ink Liquid Lipstick gives you a flawless matte finish in a range of super pigmented shades.
The Super Stay Matte Ink Liquid Lipstick is available in over 25+ saturated shades and lasts for up to 16 hours.
How To Use:
Apply liquid lipstick in the centre of your upper lip and follow the contours of your mouth.
Glide the liquid lipstick across the entire bottom lip.",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Pioneer20_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Pioneer20_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Pioneer20_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Transfer Proof,#af2b37,Full Coverage,,Matte,,,,,
EU00115529,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Color Sensational Ultimattes Lipstick- 499 More Blush- 1.7g,Pink,More Blush,0-2 ML,1,Maybelline,599,359,"Color Sensational Ultimattes Lipstick
Shade name: More Blush
Shade number: 499",,,1,Units,,"Vision Star, CHN - YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, NO. 18 XIHU ROAD, XILING ECONOMIC DEVELOPING ZONE, YICHANG, CHINA",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-499MoreBlush-1.7g_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-499MoreBlush-1.7g_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-499MoreBlush-1.7g_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-499MoreBlush-1.7g_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Fragrance-Free,Bullet,,,,,,,,,,,Matte,Easy Application,,Medium Coverage,Regular,,,,,,
EU00115530,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Superstay Vinyl Ink Liquid Lipstick with Vitamin E 4.5 ml - Witty,Pink,Witty,4-5 ML,1,Maybelline,849,679,Superstay Vinyl Ink Liquid Lipstick with Vitamin E - Witty,,,1,Units,,"Vision Star, Yichang Tianmi International Cosmetics Co.,44300, No.18 Xihu Road, Xiling Economic Developing Zone, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperstayVinylInkLiquidLipstickwithVitaminE4.5ml-Witty_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperstayVinylInkLiquidLipstickwithVitaminE4.5ml-Witty_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperstayVinylInkLiquidLipstickwithVitaminE4.5ml-Witty_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperstayVinylInkLiquidLipstickwithVitaminE4.5ml-Witty_4.jpg,,,,(Y),(Y),(N),,,,,,Vitamin E,,,Cruelty-Free,Liquid,Vitamin E,,,,,,,,,,Glossy,Transfer Proof,,Full Coverage,Regular,,,,,,
EU00115531,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Color Sensational Creamy Matte Lipstick - 695 Divine Wine,Red,Divine Wine,3.5-4 ML,1,Maybelline,329,213,"New York Color Sensational Creamy Matte Lipstick
Shade name: 695 Divine Wine

Discover Maybelline New York's Color Sensational Creamy Matte Lipsticks in 35 comfortably matte shades! Infused with pure precious oils that are filled with moisture; our smoothest, creamiest, non-drying matte lipstick leaves the lips with a sensuous finish for that comfortable feel. The Creamy Mattes are available in 35 stunning and highly pigmented shades; ranging from classic red lipsticks such as Rich Ruby and Siren in Scarlet to flawless nude lipsticks like Daringly Nude and Nude Embrace.
The Color Sensational Creamy Mattes Lipstick has a unique, matte cream formula that offers a non-drying & uncrackable finish that stays comfortably on your lips through the day.These hydrating lip colors that are infused with honey nectar, glide smoothly while keeping your lips moisturized all day long. These lipsticks are smooth, creamy, comfortable and are highly pigmented.",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalCreamyMatteLipstick-695DivineWine_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalCreamyMatteLipstick-695DivineWine_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalCreamyMatteLipstick-695DivineWine_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalCreamyMatteLipstick-695DivineWine_4.jpg,,,,(Y),(Y),(N),,,,,,Honey,,,Fragrance-Free,Bullet,,,Day,,Hydrating,,,,,,Matte,Moisturising,#6d1811,Medium Coverage,,Matte,,,,,
EU00115532,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York SuperStay Matte Ink Liquid Lipstick - 65 Seductress,Brown,Seductress 65,4-5 ML,1,Maybelline,699,419,"SuperStay Matte Ink Liquid Lipstick
Shade name: 65 Seductress",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick-65Seductress_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick-65Seductress_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick-65Seductress_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Transfer Proof,#9c4d46,Full Coverage,,Matte,,,,,
EU00115533,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Delicate 225,Brown,Delicate 225,4-5 ML,1,Maybelline,699,419,"New York Super Stay Matte Ink Liquid Lipstick 5 ml
Shade name: 225 Delicate",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Delicate225_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Delicate225_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Delicate225_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Transfer Proof,#953743,Full Coverage,,Matte,,,,,
EU00115534,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Sensational Liquid Matte Lipstick 7 ml - Made Easy 11,Maroon,Made Easy 11,6-8 ML,1,Maybelline,399,239,"Sensational Liquid Matte Lipstick
Shade Name: Made Easy 11",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSensationalLiquidMatteLipstick7ml-MadeEasy11_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSensationalLiquidMatteLipstick7ml-MadeEasy11_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSensationalLiquidMatteLipstick7ml-MadeEasy11_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Fragrance-Free,Liquid,,,,,,,,,,,Matte,Lightweight,#892728,Full Coverage,,Matte,,,,,
EU00115535,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Globe Trotter 135,Brown,Globe Trotter 135,4-5 ML,1,Maybelline,699,419,"Super Stay Matte Ink Liquid Lipstick 5 ml
Shade name: 135 Globe Trotter",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-GlobeTrotter135_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-GlobeTrotter135_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-GlobeTrotter135_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Transfer Proof,#bd5635,Full Coverage,,Matte,,,,,
EU00115536,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Color Sensational Nude Nuance Creamy Matte Lipstick 657,Nude,Nude Nuance,3.5-4 ML,1,Maybelline,329,213,"Shade name
Nude Nuance 657

What it is: 
Maybelline New York Color Sensational Nude Nuance Creamy Matte Lipstick

What it does:
has a unique matte cream formula that offers a non-drying and uncrackable matte finish that stays comfortably on your lips through the whole day
leaves your lips with a creamy matte finish and intense color
is smooth, creamy, wearable, doesn't dry and is highly pigmented
These hydrating lip colors infused with honey nectar, glide smoothly while keeping your lips moisturized all day long",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalNudeNuanceCreamyMatteLipstick657_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalNudeNuanceCreamyMatteLipstick657_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalNudeNuanceCreamyMatteLipstick657_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalNudeNuanceCreamyMatteLipstick657_4.jpg,,,,(Y),(Y),(N),,,,,,Honey,,,Fragrance-Free,Crayon,,,Day,,Hydrating,,,,,,Matte,Moisturising,,Full Coverage,Regular,Matte,,,,,
EU00115537,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Inspirer 125,Pink,Inspirer 125,4-5 ML,1,Maybelline,699,419,"New York Super Stay Matte Ink Liquid Lipstick 5 ml
Shade name: Inspirer",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Inspirer125_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Inspirer125_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Inspirer125_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Long Lasting,#ce5a73,Medium Coverage,,Matte,,,,,
EU00115538,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Color Sensational Ultimattes Lipstick- 199 More Ruby- 1.7g,Red,199 More Ruby,0-2 ML,1,Maybelline,599,359,"New York Color Sensational Ultimattes Lipstick

Shade Number: 199
Shade Name: More Ruby",,,1,Units,,"Vision Star, CHN - YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, NO. 18 XIHU ROAD, XILING ECONOMIC DEVELOPING ZONE, YICHANG, CHINA",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-199MoreRuby-1.7g_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-199MoreRuby-1.7g_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-199MoreRuby-1.7g_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Fragrance-Free,Bullet,,,,,,,,,,,Matte,Easy Application,,Medium Coverage,Regular,,,,,,
